sku,image,name,brand
GRH-CC-PO-CH,,Grohe Concetto Pull-Out Kitchen Mixer,GROHE
GRH-ES-BM-CH,,Grohe Essence Single-Lever Basin Mixer,GROHE
GRH-ES-TSS-CH,,Grohe Essence Concealed Thermostatic Shower System,GROHE
GRH-ESS-BM-S,,Essence Basin Mixer S-Size,GROHE
GRH-EU-KM-CH,,Grohe Eurostyle Single-Lever Kitchen Mixer,GROHE
GRH-EUPH-260,,Euphoria System 260,GROHE
GRH-EURO-BM,,Eurosmart Basin Mixer,GROHE
GRH-FEEL-KIT,,Grohe Feel Kitchen Mixer,GROHE
GRH-RAIN-310,,Rainshower 310 SmartActive,GROHE
GRH-RAIN-EU260,,Euphoria Shower System 260,GROHE
GRH-RS-310-CH,,Grohe Rainshower 310 Overhead Shower,GROHE
GRH-SA-SWT-CH,,Grohe Sensia Arena Shower Toilet,GROHE
HG-LG-TBM-CH,,Hansgrohe Logis Exposed Thermostatic Bath Mixer,HANSGROHE
HG-MP-BM-CH,,Hansgrohe Metropol Single-Lever Basin Mixer,HANSGROHE
HG-MPWP-BM-CH,,Hansgrohe Metropol Classic Widespread Basin Mixer,HANSGROHE
HG-RDS-240-CH,,Hansgrohe Raindance S 240 PowderRain Overhead Shower,HANSGROHE
HG-UBX-CONC-UNI,,Hansgrohe uBox Concealed Installation Box,HANSGROHE
HGR-RD-E300,,Raindance E 300 AI,HANSGROHE
HGR-SEL-E300,,Hansgrohe Select E 300 3jet,HANSGROHE
AX-ED-BM-CH,,Axor Edge Diamond Cut Basin Mixer,AXOR
AX-ONE-OS-280,,Axor One Overhead Shower 280 1jet,AXOR
AX-SK-BM80-CH,,Axor Starck Single-Lever Basin Mixer 80,AXOR
AX-SK-FBS-CH,,Axor Starck Freestanding Bath Spout,AXOR
AXR-CTR-THERM,,Axor Citterio Thermostatic,AXOR
AXR-MNTRX-SL,,Axor Montreux Single Lever,AXOR
VT-EQ-WB-60-WH,,"Vitra Equal Wash Basin (60cm, Wall-Hung)",VITRA
VT-INT-RWH-WH,,Vitra Integra Rimless Wall-Hung WC,VITRA
VT-MEM-FBT-WH,,Vitra Memoria Freestanding Bathtub (170cm),VITRA
VT-ML-VU-80-MW,,"Vitra M-Line Vanity Unit (80cm, Matte White)",VITRA
VT-NEON-SWT-WH,,Vitra Neon Smart WC with Bidet Function,VITRA
VT-S50-WHC-WH,,"Vitra S50 Wall-Hung WC (Compact, White)",VITRA
VTR-FRAME-WCS,,Vitra Frame WC + Seat,VITRA
VTR-S50-RWC,,S50 Rimless WC,VITRA
VTR-SENTO-55,,Vitra Sento Basin 55cm,VITRA
GBR-SIGMA-CC,,Geberit Sigma Concealed Cistern,GEBERIT
GEB-DF-WHC-114,,"Geberit Duofix Element (Wall-Hung WC, H114)",GEBERIT
DIM-AB-POL-800,,Dimore Arabescato Bianco Polished Tile (800×400),OTHER
DIM-NA-HN-600,,Dimore Nero Assoluto Honed Tile (600×600),OTHER
DIM-VEN-MOS-300,,Dimore Venezia Gold Mosaic Tile (300×300),OTHER
HW-MIR-LED-800,,Hindware LED Backlit Mirror (800×600mm),OTHER
HW-WB-CALI-WH,,"Hindware Calido Wall-Hung Basin (White, 550mm)",OTHER
HW-WC-OPUS-WH,,Hindware Opus Floor-Mount WC (White),OTHER
JAG-AC-CONT-15,,Jaguar Continental Angle Cock (15mm),OTHER
JAG-ACC-5IN1-CH,,Jaguar 5-in-1 Bathroom Accessories Set,OTHER
JAG-BM-LYRIC-CH,,Jaguar Lyric Single-Lever Basin Mixer,OTHER
JAG-BT-32-CH,,"Jaguar Bottle Trap (32mm, Chrome)",OTHER
JAG-OS-FLOR-300,,Jaguar Florentine Overhead Rain Shower (300mm),OTHER
KAJ-FT-ETW-600,,Kajaria Eternity White Ceramic Floor Tile (600×600),OTHER
KAJ-GVT-NB-800,,Kajaria GVT Nova Beige Vitrified Tile (800×800),OTHER
KAJ-HEX-BG-275,,Kajaria Duragres Hexa Blue-Grey Wall Tile (275×240),OTHER
KOH-BT-VEIL-WH,,"Kohler Veil Freestanding Bathtub (White, 1700mm)",OTHER
KOH-SS-REACH-CH,,Kohler Reach Thermostatic Shower System,OTHER
KOH-WC-AWH-WH,,Kohler Archer Wall-Hung WC (White),OTHER
NEX-EG-PW-2,,"Nexion Epoxy Grout (2kg, Pearl White)",OTHER
NEX-GG-R12-600,,Nexion Granite Grey R12 Outdoor Tile (600×600),OTHER
NEX-TA-C1T-20,,Nexion Tile Adhesive C1T (20kg),OTHER
NEX-TN-OUT-450,,Nexion Travertino Noce Outdoor Tile (450×450),OTHER
NEX-TS-IND-600,,Nexion TechStone Industrial Floor Tile (600×600),OTHER
OYS-CAL-LF-1200,,Oyster Calacatta Oro Large Format Tile (1200×600),OTHER
OYS-GR-CON-600,,Oyster Grigio Concrete Effect Tile (600×600),OTHER
OYS-NM-MT-800,,Oyster Nero Marquina Matte Floor Tile (800×800),OTHER
OYS-STV-GL-600,,Oyster Statuario Venato Glossy Wall Tile (600×300),OTHER
QUT-CA-SLAB-1800,,Qutone Calacatta Altissimo Slab (1800×900),OTHER
QUT-FG-TRZ-600,,Qutone Forest Green Terrazzo Tile (600×600),OTHER
QUT-LW-WT-900,,Qutone Limra White Marble Effect Wall Tile (900×300),OTHER
RAK-VT-ONYX-800,,RAK Ceramics Luster Onyx Full-Body Tile (800×800),OTHER
RAK-WT-CARR-600,,RAK Ceramics Carrara Marble Wall Tile (600×300),OTHER
SOM-MOS-CB-200,,Somany Mosaic Carbon Black Wall Tile (200×200),OTHER
SOM-VT-INF-800,,Somany Duragres Infinity Ivory Vitrified Tile (800×800),OTHER
VIT-S50-WC-JET,,Vitra S50 Wall-Hung WC,OTHER
