priority,severity,code,sku,row,source,page,name,price,message,suggested_action
high,warning,VERY_LOW_PRICE,24369IG0,1312,grohe,33,"Grandera Single Lever Basin Mixer with Pop-Up, M Size",400,Price 400 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,24370IG0,1314,grohe,34,"Grandera Single Lever Basin Mixer without Pop-Up, M Size",400,Price 400 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,29402AL0,2153,grohe,249,"Allure Brillant Two-Hole, Single Lever Wall-Mount Basin Mixer, S Size",400,Price 400 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,29402DC0,2154,grohe,369,"Allure Brillant Two-Hole, Single Lever Wall-Mount Basin Mixer, S Size",400,Price 400 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,36445DA0,2560,grohe,335,"Essence E Infrared Basin Mixer, DC",450,Price 450 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,36445GL0,2561,grohe,303,"Essence E Infrared Basin Mixer, DC",450,Price 450 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
high,warning,VERY_LOW_PRICE,3853610I,2624,grohe,444,GROHE Product 3853610I,113,Price 113 looks unusually low,Verify PDF value for this SKU and correct price in extracted JSON before next import.
medium,warning,POSSIBLE_MERGED_ROW,1068810000,493,grohe,111,1068820000 RSH Aqua THM rough-in 4 Smartcontrol RSH Aqua THM rough-in 5 Smartcontrol,19850,Name contains additional SKU-like token(s): 1068820000,Check for merged rows in PDF text; split/clean product name if extra SKU-like token is not expected.
medium,warning,POSSIBLE_MERGED_ROW,13903000,3159,hansgrohe,143,"HG angle valve E DN15xDN15 (1/2"")",1320,Name contains additional SKU-like token(s): DN15XDN15,Check for merged rows in PDF text; split/clean product name if extra SKU-like token is not expected.
medium,warning,POSSIBLE_MERGED_ROW,29399000,2149,grohe,18,24340000 Allure Brilliant 5-Way Diverter,61900,Name contains additional SKU-like token(s): 24340000,Check for merged rows in PDF text; split/clean product name if extra SKU-like token is not expected.
medium,warning,POSSIBLE_MERGED_ROW,73053000,3926,hansgrohe,105,HG Tecturis E 2h basin mix.150CoolSt.chr,111160,Name contains additional SKU-like token(s): 150COOLST,Check for merged rows in PDF text; split/clean product name if extra SKU-like token is not expected.
